vid,start,token,exact,style,time
tMuCbD9wtSY,331.6,10:04pm,true,manual,10:04pm
LfKRgNx-kzg,578,10:04pm,true,manual,10:04pm
UIErSy1vBR8,15.6,10:04pm,true,manual,10:04pm
plRLFRlh1e4,20,10:04pm,true,manual,10:04pm
EE98M0Qwyys,65.4,10:04PM,true,manual,10:04pm
7OvXMHCrvVg,568.4,10:05AM,true,manual,10:05am
_6NTCsms-wM,782.2,10:05am,true,manual,10:05am
MLCcN8yFsvI,248.8,10:05AM,true,manual,10:05am
qx-lyJ-ddd0,234.2,10:05AM,true,manual,10:05am
xmiCk8Q1ORk,54,10:05am,true,manual,10:05am
yazyjc2Vrc4,36.5,10:05AM,true,manual,10:05am
UVoTlitNitk,767.8,10:05am,true,manual,10:05am
uNFSddBcjAg,58.1,10:05am,true,manual,10:05am
bQ3UF0Bkmo8,1994,10:05am,true,manual,10:05am
6x7J0OETgv4,69,10:05am,true,manual,10:05am
xG-jLeR1OSY,132.9,10:05am,true,manual,10:05am
pSTk03mTVDw,133.9,10:05AM,true,manual,10:05am
VyFdpgeluY0,900.1,10:05AM,true,manual,10:05am
Y27Ia7n5Bag,619.4,10:05AM,true,manual,10:05am
f5ggUHcePxU,1223.9,10 05am,false,manual,10:05am
hiI_NMcrjbA,961.1,10：05am,false,manual,10:05am
bH7GtVO34-k,56,10 05AM,false,manual,10:05am
Qs4hC6xkLvQ,196.5,10:05PM,true,manual,10:05pm
ybVM7jXtD5g,1019.9,10:05pm,true,manual,10:05pm
wP2KasW5W78,0.9,10:05PM,true,manual,10:05pm
zb3_-ozg8u0,226.8,10:05pm,true,manual,10:05pm
r4hYZ5eS-mQ,187.9,10:05pm,true,manual,10:05pm
CAQe6l7CXuM,35.7,10:05pm,true,manual,10:05pm
Vv0KmJ4qy4s,141.6,10:05pm,true,manual,10:05pm
Ch59Mc9ZxhA,1049.6,10:05pm,true,manual,10:05pm
1fj0F5zFmQ4,26,10:05pm,true,manual,10:05pm
F46OhqQxBC0,46.5,10:05PM,true,manual,10:05pm
k2hXHWif_JA,113.1,10:05pm,true,manual,10:05pm
rngm3C_eOkk,271.4,10:05pm,true,manual,10:05pm
T4OmNtnUzQo,280.5,10:05pm,true,manual,10:05pm
M-XKOAbayE8,218.7,10:05pm,true,manual,10:05pm
JKctH3J7JN0,259,10:05pm,true,manual,10:05pm
7oy8U7wdDfw,264.6,10:05pm,true,manual,10:05pm
Y1-R9Dd-AR8,946.6,10 05PM,false,manual,10:05pm
GWUL_GgUAlo,120.8,10 05pm,false,manual,10:05pm
4ZPe2KK4YMk,285.2,10 05pm,false,manual,10:05pm
-QnHDPA4t5U,771.8,10 05pm,false,manual,10:05pm
c9raQe1DyY0,27.9,10 05pm,false,manual,10:05pm
3AfjzgLcTNI,1209.4,10 05pm,false,manual,10:05pm
1zA3hqO0Q60,642.2,10 05PM,false,manual,10:05pm
sBT0AlHozmQ,60,10 05pm,false,manual,10:05pm
x5AhZC-_zDw,487.5,10:06AM,true,manual,10:06am
Sa0vfa7LAgU,32.2,10:06am,true,manual,10:06am
GpcoB1h9WYs,107.8,10:06am,true,manual,10:06am
V1-FuDF0KYc,646.5,10:06am,true,manual,10:06am
Bfs9kRLksaU,149.7,10:06AM,true,manual,10:06am
phcNyGpYbsc,145.9,10 06AM,false,manual,10:06am
guYNcviOVtk,132.9,10:06pm,true,manual,10:06pm
JiH2IgHyYGQ,172,10:06pm,true,manual,10:06pm
uv83EAGVGUU,203.5,10:06PM,true,manual,10:06pm
2YosGIQbG8Y,131,10:06PM,true,manual,10:06pm
buRapRLS-Oo,4.1,10:06pm,true,manual,10:06pm
TPuYzI9ziDg,330.2,10:07am,true,manual,10:07am
SVa60ndzAJ8,84.6,10:07am,true,manual,10:07am
W-4Y2uOciLk,145.8,10:07AM,true,manual,10:07am
fRQlNSptLEQ,17.9,10:07AM,true,manual,10:07am
YvxRujEP4v8,184,10:07am,true,manual,10:07am
zkiHfvEjVSw,508,10:07am,true,manual,10:07am
S19Gdhw6j0A,5.2,10:07AM,true,manual,10:07am
X9syzJYWL-Y,259.3,10 07am,false,manual,10:07am
1hkoGJHgXA4,1339.4,10:07PM,true,manual,10:07pm
TA6ghda2vlc,252.4,10 07pm,false,manual,10:07pm
3ZJC0umGxmo,1291.1,10:08am,true,manual,10:08am
z7qOtJqaTis,471.9,10:08am,true,manual,10:08am
Rir2MpfLsRQ,672.1,10:08am,true,manual,10:08am
4FBIZQhKsfg,96.6,10:08am,true,manual,10:08am
A3bm7uXbobA,60,10:08am,true,manual,10:08am
V1-FuDF0KYc,288.6,10:08am,true,manual,10:08am
DwpnxFU-EZQ,55.3,10:08am,true,manual,10:08am
zN6CztThnCM,523.9,10 08am,false,manual,10:08am
UIN7d0Jrj6s,1320.6,10:08pm,true,manual,10:08pm
M_MQYsTSRtI,1284.7,10:08pm,true,manual,10:08pm
Okulyca8vtU,2177.9,10:08pm,true,manual,10:08pm
YRgJ1yCz3dU,478.5,10 08pm,false,manual,10:08pm
rvxg5Nz9YZk,110.7,10:09am,true,manual,10:09am
AKiXnhaktWo,177.8,10:09am,true,manual,10:09am
c-wLqnbR4ZA,203.9,10 09am,false,manual,10:09am
1RWDgRZrrpk,503.1,10:09pm,true,manual,10:09pm
BtcroxYC_GA,12295.9,10:09PM,true,manual,10:09pm
AsxVvco89QE,3819,10:09PM,true,manual,10:09pm
9Cc7pkscKgM,25.7,10:09pm,true,manual,10:09pm
BcddzUqDt1o,140.8,10:09pm,true,manual,10:09pm
mC4izgfFdII,6406.8,10:09PM,true,manual,10:09pm
tLh7vy7QUTM,252.1,10:09PM,true,manual,10:09pm
ElKrTfQzvsY,1484.6,10:09PM,true,manual,10:09pm
uv83EAGVGUU,84.9,10:09PM,true,manual,10:09pm
FJ6IG30qS7Y,2020.2,10 09pm,false,manual,10:09pm
tauNqKD8aMg,73.6,10:10am,true,manual,10:10am
Ck7yqX_ZIMk,81.9,10:10am,true,manual,10:10am
zfkzuaQg_I8,1357,10:10AM,true,manual,10:10am
XISwz73yX3k,604.8,10:10am,true,manual,10:10am
RRLe_i2pUT8,2231.9,10:10AM,true,manual,10:10am
04qlpnJ0OXU,1260.6,10:10am,true,manual,10:10am
xXXv18D2wd8,936.4,10:10am,true,manual,10:10am
VsPPSjSx53c,123.6,10:10AM,true,manual,10:10am
G9vLMohvIe0,57.6,10:10AM,true,manual,10:10am
vsDOMW_x6T8,1151.2,10:10AM,true,manual,10:10am
P3MUfcpDUIE,117.3,10:10am,true,manual,10:10am
ZgZjEuUejp4,55.9,10:10am,true,manual,10:10am
XDl_9sLX7dk,252.7,10:10am,true,manual,10:10am
vwHo3S_6tyA,303.4,10:10am,true,manual,10:10am
5dH6N2_xUzY,34.1,10:10AM,true,manual,10:10am
MQUCUU0QHas,15.6,10:10am,true,manual,10:10am
TfCBw4m0fQ0,7.3,10:10am,true,manual,10:10am
mgghbl4zYpg,2163,10:10AM,true,manual,10:10am
vpagjzZKUIs,2574.6,10:10AM,true,manual,10:10am
5C4oB1TtDpc,1820.2,10:10AM,true,manual,10:10am
kx4N_6zHnac,53,10:10am,true,manual,10:10am
Bogd-kE4tAE,45,10:10AM,true,manual,10:10am
zdM2DiQO1ug,81.4,10:10am,true,manual,10:10am
kjEIga04jPg,3228,10:10AM,true,manual,10:10am
YKhFpZK2Who,306.6,10:10AM,true,manual,10:10am
ewDamo2zrbI,106.7,10:10AM,true,manual,10:10am
nVxrlmpK-C4,2362.8,10:10AM,true,manual,10:10am
iJWDKG46xBk,160.2,10:10AM,true,manual,10:10am
JqAUxnrlFpE,160.2,10:10AM,true,manual,10:10am
R58LlPh2VJs,284.9,10:10pm,true,manual,10:10pm
iPiSFFLi6QY,6238.5,10:10pm,true,manual,10:10pm
YYWU1I4PW30,949.9,10:10pm,true,manual,10:10pm
q_ow32UqS_M,393.1,10:10pm,true,manual,10:10pm
tA1OIuuygsk,916.1,10:10pm,true,manual,10:10pm
atygHJANu-8,717,10:10PM,true,manual,10:10pm
pUBPmtfDEGs,83,10:10pm,true,manual,10:10pm
6c9l8ZS8I30,236.2,10:10PM,true,manual,10:10pm
kIqVKJ9UUg4,191.1,10:10PM,true,manual,10:10pm
mz0ZzC8uBGc,2342,10:10PM,true,manual,10:10pm
SIkBr9TpnRc,260.4,10:10pm,true,manual,10:10pm
2VyMlFKvik8,543.6,10:10pm,true,manual,10:10pm
-T4vCSAsYdo,217.4,10:10pm,true,manual,10:10pm
yrR2PG-bM6E,109.6,10:10pm,true,manual,10:10pm
O8VPaZeD5es,912.8,10:10pm,true,manual,10:10pm
_2rK6KFmC5E,206.1,10:10pm,true,manual,10:10pm
P_2BWf3a4Dc,127.3,10:10PM,true,manual,10:10pm
-pP2bel1ofo,5.3,10:10pm,true,manual,10:10pm
pzE_6gIvl8w,417.7,10:10PM,true,manual,10:10pm
0hAgCTwJ-NA,184,10:10pm,true,manual,10:10pm
WyS3v-_AHfU,16091,10:11AM,true,manual,10:11am
Nz8k_mu3m90,978.1,10:11AM,true,manual,10:11am
W2p3SeThz2g,65.6,10:11AM,true,manual,10:11am
YbSOeCW9zAE,19.9,10:11am,true,manual,10:11am
IxdDCnG0iH8,779.7,10:11am,true,manual,10:11am
fFUeNNneA-0,779.7,10:11am,true,manual,10:11am
gSjbFTOGJg4,96.6,10:11AM,true,manual,10:11am
bcEMgU40CDQ,94.6,10:11AM,true,manual,10:11am
wTW7f0OKjRs,514.9,10:11AM,true,manual,10:11am
bB1ABBH669g,14620.9,10:11AM,true,manual,10:11am
HWn_7fhtG6Q,935.3,10:11am,true,manual,10:11am
xkvqcV0cS8Y,2472.3,10:11AM,true,manual,10:11am
qZDX9OQvs8U,3096.2,10:11AM,true,manual,10:11am
ptK2YXyuvjA,152.4,10:11AM,true,manual,10:11am
Pq8wtqjQCFU,4076.4,10:11AM,true,manual,10:11am
mS-fI6uYAow,1057.3,10:11AM,true,manual,10:11am
uPOpnnZlVDM,3403.5,10:11AM,true,manual,10:11am
ln-zDwqzFEA,2960.6,10:11AM,true,manual,10:11am
YKyQyQfGyyY,1214.8,10:11AM,true,manual,10:11am
1dipVEFegX0,970.7,10:11AM,true,manual,10:11am
GWMtIYc1jes,1064.9,10:11AM,true,manual,10:11am
j9bLZ8XpKgk,1422.2,10:11AM,true,manual,10:11am
y3ItGmooPgs,11487.8,10:11PM,true,manual,10:11pm
IC61auPl3pA,3316.7,10:11PM,true,manual,10:11pm
SwWCknuLCpE,143.9,10:11PM,true,manual,10:11pm
GuQ4dhd410k,123.9,10:11PM,true,manual,10:11pm
f_VqXbu_lhg,199.2,10:11PM,true,manual,10:11pm
34TDCaL5DK0,88.3,10:11PM,true,manual,10:11pm
p3H1ttRKH2w,32.6,10:11PM,true,manual,10:11pm
jZ3QCXOrevk,1407.9,10:11PM,true,manual,10:11pm
4n7g_ECLvV4,468.5,10:11PM,true,manual,10:11pm
3bxz9NYRjbo,733.2,10:11PM,true,manual,10:11pm
nl28eCO-9GI,1236.1,10:11PM,true,manual,10:11pm
j7cmMpHJV_M,2053.5,10:11PM,true,manual,10:11pm
tyaaKuUEjU0,0.2,10:11PM,true,manual,10:11pm
Khjqz38IfwQ,982.7,10:11PM,true,manual,10:11pm
LFiKsOd-rkk,3003.6,10:11PM,true,manual,10:11pm
Msa0VZDTdD4,1214,10:11PM,true,manual,10:11pm
nvc6zirGTek,1015.3,10:11PM,true,manual,10:11pm
qKClkAjT_ig,301,10-11PM,false,manual,10:11pm
8OdF14YhfQg,834.5,"10,11pm",false,manual,10:11pm
d1MS-H1516E,141.8,10:12AM,true,manual,10:12am
Owv7-bbYBQM,111.9,10:12am,true,manual,10:12am
0MS24o2tw-w,617.1,10:12am,true,manual,10:12am
E-qjiOMdq9Q,1460.8,10-12am,false,manual,10:12am
YvfB5w7tNO4,163.5,10-12AM,false,manual,10:12am
Q6icF37Alq0,561,10-12am,false,manual,10:12am
B08C7n87sEc,452.8,10-12AM,false,manual,10:12am
T02zX0OoZP4,174.9,10 12am,false,auto,10:12am
0AHDgWPbh40,12.3,10 12am,false,auto,10:12am
98r5nl8ZPhk,78.3,10 12am,false,auto,10:12am
VIEG-umHDws,80.7,10:12PM,true,manual,10:12pm
s7PWdWhLri8,63.1,10:12PM,true,manual,10:12pm
DVhc1zl8QEM,458,10:12pm,true,manual,10:12pm
fxqmRq8BrNI,55.6,10:12PM,true,manual,10:12pm
YmE-F2jO1HA,50.6,10:12PM,true,manual,10:12pm
HWn_7fhtG6Q,832.9,10:12pm,true,manual,10:12pm
0H7d_z4UUhY,102.6,10:12PM,true,manual,10:12pm
5tlcJ44Afzo,372.6,10:12PM,true,manual,10:12pm
dH4ALvbYdhg,203.3,10:12pm,true,manual,10:12pm
VLbvU1tJgl0,63.5,10:12pm,true,manual,10:12pm
mJAyLCF_JLk,5.9,10:12PM,true,manual,10:12pm
uv83EAGVGUU,1577.8,10:12PM,true,manual,10:12pm
l7L61ZfmsVo,224.6,10-12pm,false,manual,10:12pm
rOSVdQaXq9g,87.4,10 12PM,false,manual,10:12pm
CVIJL3skt2Q,274.3,10-12PM,false,manual,10:12pm
-7irGqt5EGU,377.6,10 12pm,false,manual,10:12pm
l2Qu_OW3zp0,68.9,10 12PM,false,manual,10:12pm
-M_IOJPtM_U,8.6,10-12pm,false,manual,10:12pm
gKCn5_c44Sk,187.7,10-12pm,false,manual,10:12pm
xscEJbjW_mQ,863.9,10 12pm,false,auto,10:12pm
Ov5F_WQGVzg,33.5,10:13AM,true,manual,10:13am
IbKQ_nIO3gY,1163.3,10:13am,true,manual,10:13am
dinN7ywDceQ,64.9,10:13AM,true,manual,10:13am
bhHhLvDahQA,64.8,10:13AM,true,manual,10:13am
FV4Q9AC3K6w,3648.5,10:13AM,true,manual,10:13am
RRv6s5mXwKg,45.7,10:13AM,true,manual,10:13am
gPA_NPcw7UE,104.4,10:13AM,true,manual,10:13am
5IxYYzRcucM,53.3,10:13am,true,manual,10:13am
xVjoGjXXvTQ,45.1,10:13AM,true,manual,10:13am
OMrChi32Oh4,37.3,10:13AM,true,manual,10:13am
_8Lsy3SzNSY,49.9,10:13AM,true,manual,10:13am
wxX66EoMxyI,282.1,10:13am,true,manual,10:13am
xySeQfoUTZE,658.1,10 13am,false,manual,10:13am
H8qmUrIg38A,932.4,10:13pm,true,manual,10:13pm
vXJedaG6FPw,17.8,10:13PM,true,manual,10:13pm
vxgKxnbegkw,50.1,10:13pm,true,manual,10:13pm
HpVo2ObMSh0,433,10:13pm,true,manual,10:13pm
1t1KUFMd2h8,81.7,10:13pm,true,manual,10:13pm
SBwXMZXY9RI,168.9,10:13PM,true,manual,10:13pm
yIpzQLBk0aI,1709.7,10:14AM,true,manual,10:14am
OXxgkjddYko,155.7,10:14AM,true,manual,10:14am
cpu0Za67mD0,117.4,10:14am,true,manual,10:14am
dG7Hkg1XKz0,462.3,10:14am,true,manual,10:14am
MAfSoTiWAvE,151.9,10:14AM,true,manual,10:14am
houPMWqrRVc,216,10:14am,true,manual,10:14am
f2pS8EA7qsM,32.5,10:14am,true,manual,10:14am
lxaej4v3pwk,244,10:14am,true,manual,10:14am
7w6FWB1Ly2U,35,10:14am,true,manual,10:14am
8G_3ZEI9pgc,602,10:14am,true,manual,10:14am
J11w_owlIG0,1073.1,10:14AM,true,manual,10:14am
P3F-nb2djKw,18.1,10:14am,true,manual,10:14am
3tF1CctkCHw,44,10 14am,false,auto,10:14am
Ij0f6RfiAtg,384.3,10:14pm,true,manual,10:14pm
TJcwFHp0UBE,242.3,10:14pm,true,manual,10:14pm
WcYoxJgBsVo,43.2,10:14PM,true,manual,10:14pm
Nzs6VXsPhiY,437.8,10:14pm,true,manual,10:14pm
UlXVIaa3Alg,384.4,10 14pm,false,manual,10:14pm
3ZJC0umGxmo,1288.4,10:15am,true,manual,10:15am
-BNDub3h2_I,1648.7,10:15am,true,manual,10:15am
snpIfvPNbhU,1470.8,10:15am,true,manual,10:15am
-5zaVem42BI,69.9,10:15am,true,manual,10:15am
W6Kxrs0VTj8,44.6,10:15am,true,manual,10:15am
HIk-b7_-OuQ,770,10:15am,true,manual,10:15am
MDdnnFt31vM,390.8,10:15am,true,manual,10:15am
z-0liSYA60M,759,10:15am,true,manual,10:15am
VYvA54jQXg4,296.3,10:15AM,true,manual,10:15am
y-Mbsuh0oGA,123.1,10:15am,true,manual,10:15am
-NLNv4EcWd0,143.2,10:15AM,true,manual,10:15am
zDiEAx8r9o8,78.3,10:15AM,true,manual,10:15am
Ab4wtntnpJ4,92.4,10:15am,true,manual,10:15am
7wlaG76ZNIc,481.7,10:15am,true,manual,10:15am
Kyi2glpg7h4,110.9,10:15am,true,manual,10:15am
O_y5jLKd1Fo,385.1,10:15am,true,manual,10:15am
KOMvAp7b0gI,65,10:15AM,true,manual,10:15am
SpiHs5HOKfI,5.5,10:15am,true,manual,10:15am
2WkkkZ5N08c,593.1,10:15am - 10:15am,true,manual,10:15am
1E6WiAzzzp0,1385.1,10:15am,true,manual,10:15am
KI3hmSqCJNk,23.7,10:15am,true,manual,10:15am
ti6bdCqBEZk,1533.5,10:15AM,true,manual,10:15am
qx-lyJ-ddd0,234.2,10:15AM,true,manual,10:15am
iGV8qpqoeMI,71.8,10:15am,true,manual,10:15am
vk4wcLK9nTc,729.3,10:15am,true,manual,10:15am
1Wz7EqtJ9Vo,36.9,10:15AM,true,manual,10:15am
WbywdIZTUJI,853.4,10:15am,true,manual,10:15am
bTDR8v15oGc,96.3,10:15AM,true,manual,10:15am
hbFY6JbFXHI,636.7,10:15pm,true,manual,10:15pm
YYWU1I4PW30,475.7,10:15pm,true,manual,10:15pm
njT8BmkLk1I,1036.3,10:15pm,true,manual,10:15pm
2_xXmLODLDY,1298.5,10:15PM,true,manual,10:15pm
RVvpYhU1jNI,3629.4,10:15pm,true,manual,10:15pm
0dpigDQn0ls,180.8,10:15pm,true,manual,10:15pm
2WIN8mQNjSQ,305,10:15pm,true,manual,10:15pm
ofMTsd3LtmU,745.5,10:15pm,true,manual,10:15pm
WcKMo4ulev4,121,10:15pm,true,manual,10:15pm
JKCfqST0wYI,941.2,10:15pm,true,manual,10:15pm
prvnpgtpIKs,981.5,10:15pm,true,manual,10:15pm
o4QyP8XDJ64,451.3,10:15pm,true,manual,10:15pm
UphJ1ukWUUg,304.9,10:15PM,true,manual,10:15pm
psN_Ud_y9WA,60.1,10:15PM,true,manual,10:15pm
FcRgb2VO3Fs,724,10:15pm,true,manual,10:15pm
pdWtGgbDLxo,212,10:15PM,true,manual,10:15pm
hpogr4XwXJA,569.4,10:15PM,true,manual,10:15pm
dg8Of5sjwWc,866.6,10:15pm,true,manual,10:15pm
ckMj0AHmb_g,993.1,10:15pm,true,manual,10:15pm
K4gavN1Fwcs,25.7,10:15PM,true,manual,10:15pm
dfipCqxa210,1231.8,10:15PM,true,manual,10:15pm
y0_dvFxlAyE,27.2,10:15PM,true,manual,10:15pm
hGsVM2rihus,140.3,10:15pm,true,manual,10:15pm
2IxcDdhQz9A,17.5,10:15PM,true,manual,10:15pm
6rP7wN2gxIs,90.7,10:15pm,true,manual,10:15pm
8VT6RHbLAGI,19.2,10:15PM,true,manual,10:15pm
-jZz8KyXzD8,132.7,10:16AM,true,manual,10:16am
Ad8wM7unRm4,92.9,10:16AM,true,manual,10:16am
SQ5d_Q4qmO4,177.3,10:16AM,true,manual,10:16am
kO9q6ZOdzus,123.6,10:16AM,true,manual,10:16am
hD0PZszt5wg,731.2,10:16am,true,manual,10:16am
aRUPkFnc9rk,110.2,10:16AM,true,manual,10:16am
8saQ97eAPMw,71.8,10:16AM,true,manual,10:16am
yWVB6_rM-vg,552,10:16am,true,manual,10:16am
dG7FBfK9K5s,12.6,10:16AM,true,manual,10:16am
VGqg-OkJjLs,436.3,10:16am,true,manual,10:16am
y6LXe0stIR4,236,10 16am,false,manual,10:16am
KI9x5zkLocA,393.4,10 16am,false,manual,10:16am
odQQcxTc3dc,9097.5,10 16am,false,auto,10:16am
Yt8GYqN83gE,5198.6,10 16am,false,auto,10:16am
nkjhyAYzwQc,2.1,10 16am,false,auto,10:16am
LbbrBYbP9yY,286.9,10 16am,false,auto,10:16am
918HuTShwnc,80.7,10:16PM,true,manual,10:16pm
7Ze9vamGqmM,24.7,10:16pm,true,manual,10:16pm
4S6kT0nccp4,384,10:16PM,true,manual,10:16pm
hz81bCeGbQo,1356.9,10:16PM,true,manual,10:16pm
e_RHo-oAAMs,429.5,10:16pm,true,manual,10:16pm
p134h-kVzKM,191.3,10 16pm,false,manual,10:16pm
2tI8Urh8Ljc,286.9,10 16PM,false,manual,10:16pm
zXUAkK17t5Y,1162.8,10 16pm,false,auto,10:16pm
uW6QqcmCfm8,107.3,10:17am,true,manual,10:17am
4amDJ73B1gE,442.1,10:17am,true,manual,10:17am
seiMQxvCX3A,158.4,10:17am,true,manual,10:17am
YOwCjcPhC5U,198,10:17am,true,manual,10:17am
YPTbHJ7cPc4,0.9,10:17am,true,manual,10:17am
ORYUqybCEA4,91.5,10:17am,true,manual,10:17am
RCRcVKtvBgw,484.5,10:17AM,true,manual,10:17am
2hQX2yT5uaE,159.5,10:17am,true,manual,10:17am
YzYrvUImlw8,37.7,10:17AM,true,manual,10:17am
M5TLxlvIoSU,23.2,10:17am,true,manual,10:17am
rY9_j8LNC-Q,24.8,10:17am,true,manual,10:17am
B6xkMfxDZaU,79.1,10:17am,true,manual,10:17am
KlwO8uqghEw,46.5,10 17am,false,manual,10:17am
0zoDs6CHQgU,148,10 17am,false,manual,10:17am
TBToK_RFnQ0,23811.8,10 17am,false,auto,10:17am
EOtgxz1BpRU,33964.9,10 17am,false,auto,10:17am
_JIyhzoa0i8,105.3,10 17am,false,auto,10:17am
R6icb42LBJE,233,10 17am,false,auto,10:17am
