name,county,state,population,latitude,longitude,type
La Gloria,Starr County,Texas,102,26.72,-98.52139,u
Lake,Spink County,South Dakota,102,44.75697,-98.63557,s
Lane,De Witt County,Illinois,102,40.12254,-88.85563,d
Loco,Stephens County,Oklahoma,102,34.32925,-97.68114,t
Lyon,Cloud County,Kansas,102,39.37224,-97.76333,s
Mansfield,Brown County / Spink County,South Dakota,102,45.24648,-98.55815,d
Marlboro,Monmouth County,New Jersey,102,40.31528,-74.24639,u
Moose,Roseau County,Minnesota,102,48.84185,-96.08276,s
New Providence,Lancaster County,Pennsylvania,102,39.92528,-76.19806,u
Newport,McHenry County,North Dakota,102,48.32659,-100.43192,s
Powhatan,Natchitoches Parish,Louisiana,102,31.87294,-93.20128,v
Silver Lake,Hutchinson County,South Dakota,102,43.46579,-97.45100,s
Soldier,Jackson County,Kansas,102,39.53611,-95.96416,c
Strawn,Livingston County,Illinois,102,40.65253,-88.39644,v
Swan Lake,Lake County,Montana,102,47.92917,-113.84472,u
Tuskahoma,Pushmataha County,Oklahoma,102,34.61778,-95.27667,u
Walworth,Becker County,Minnesota,102,47.11509,-96.12023,s
Wann,Saunders County,Nebraska,102,41.14667,-96.35583,u
Warrenton,Marshall County,Minnesota,102,48.23925,-96.82708,s
Westwood,Henry County,Iowa,102,40.96558,-91.62377,c
Altoona,Lake County,Florida,103,28.96582,-81.64869,d
Armagh,Indiana County,Pennsylvania,103,40.45368,-79.03197,b
Aucilla,Jefferson County,Florida,103,30.48111,-83.75361,u
Belgrade,Nance County,Nebraska,103,41.47307,-98.06839,v
Birney,Rosebud County,Montana,103,45.32166,-106.51504,d
Brookfield,Noble County,Ohio,103,39.78799,-81.64253,s
Burton,Adams County,Illinois,103,39.90472,-91.24917,u
Campo,Baca County,Colorado,103,37.10502,-102.57964,t
Central,Keweenaw County,Michigan,103,47.41639,-88.29556,u
Cromwell,Union County,Iowa,103,41.03943,-94.46191,c
Danvers,Swift County,Minnesota,103,45.28190,-95.75198,c
Downing,Comanche County,Texas,103,32.02403,-98.5506,u
Dukedom,Weakley County,Tennessee,103,36.49917,-88.715,u
Dukedom,Graves County,Kentucky,103,36.49917,-88.715,u
Eagle,Kingman County,Kansas,103,37.51565,-97.97401,s
Fraser,Boone County,Iowa,103,42.12720,-93.96495,c
Hackberry,Mohave County,Arizona,103,35.36917,-113.72722,u
Halltown,Lawrence County,Missouri,103,37.19339,-93.62548,v
Haynesville,Aroostook County,Maine,103,45.78312,-67.99279,t
Homewood,Beaver County,Pennsylvania,103,40.81395,-80.32923,b
Logan,Butler County,Kansas,103,37.60682,-96.78955,s
Marie,Mississippi County,Arkansas,103,35.61036,-90.08092,t
Milford,Lassen County,California,103,40.17129,-120.37244,d
Peoria,Linn County,Oregon,103,44.44861,-123.20722,u
Richland,Beadle County,South Dakota,103,44.32556,-98.03341,s
Sheridan,Washington County,Kansas,103,39.60209,-97.19470,s
Silesia,Carbon County,Montana,103,45.55667,-108.84139,u
St. Olaf,Clayton County,Iowa,103,42.92860,-91.38625,c
Vaughnsville,Keweenaw County,Michigan,103,47.41639,-88.29556,u
Wilbur,Brule County,South Dakota,103,43.63652,-98.84393,s
Wilson,Tripp County,South Dakota,103,43.29132,-99.82228,s
Yuma,Carroll County,Tennessee,103,35.8475,-88.33667,u
Aquilla,Hill County,Texas,104,31.85155,-97.21806,c
Baileyville,Nemaha County,Kansas,104,39.84444,-96.18501,d
Ballston,Polk County,Oregon,104,45.06678,-123.32094,u
Bridgeport,Caddo County,Oklahoma,104,35.54644,-98.38451,c
Chikaskia,Kingman County,Kansas,104,37.41590,-98.18539,s
Craig,Holt County,Missouri,104,40.19472,-95.37109,c
Ebro,Clearwater County,Minnesota,104,47.49551,-95.52946,d
Foster,Warren County,Indiana,104,40.14778,-87.47139,u
Helendale,Richland County,North Dakota,104,46.57965,-97.20862,s
Hickory,Schuyler County,Illinois,104,40.16982,-90.27070,s
Hutchinson,Warren County,New Jersey,104,40.77371,-75.13129,d
Jackson,Sanborn County,South Dakota,104,44.15785,-98.14374,s
Lake Pleasant,Red Lake County,Minnesota,104,47.80360,-96.28795,s
Lakeville,Penobscot County,Maine,104,45.30281,-68.08614,t
McKinley,St. Louis County,Minnesota,104,47.51270,-92.41101,c
Musella,Crawford County,Georgia,104,32.79778,-84.03222,u
Naomi,Fayette County,Pennsylvania,104,40.10702,-79.84143,d
Ola,Brule County,South Dakota,104,43.63669,-99.23186,s
Opolis,Crawford County,Kansas,104,37.34444,-94.62111,u
Powhatan,Lawrence County,Arkansas,104,36.08229,-91.11846,t
Round Mountain,Blanco County,Texas,104,30.43158,-98.34474,t
Rutherford,Napa County,California,104,38.45852,-122.42248,d
Trout,LaSalle Parish,Louisiana,104,31.69583,-92.17861,u
Valley,Linn County,Kansas,104,38.26246,-94.69131,s
Wabaunsee,Wabaunsee County,Kansas,104,39.14611,-96.34611,u
Waynesville,Bartholomew County,Indiana,104,39.115,-85.89167,u
Yorkshire,Darke County,Ohio,104,40.32533,-84.49551,v
Bache,Pittsburg County,Oklahoma,105,34.89417,-95.64861,u
Barnhart,Irion County,Texas,105,31.225,-101.28528,u
Beaver,Nance County,Nebraska,105,41.49849,-97.82634,s
Benton City,Audrain County,Missouri,105,39.13448,-91.76517,v
Blakeslee,Williams County,Ohio,105,41.52422,-84.73023,v
Blanco,Pittsburg County,Oklahoma,105,34.75111,-95.77444,u
Bruneau,Owyhee County,Idaho,105,42.88056,-115.79722,u
Byron,Oxford County,Maine,105,44.70260,-70.64758,t
Castine,Darke County,Ohio,105,39.93172,-84.62440,v
Center Hill,Houston County,Texas,105,31.38028,-95.24722,u
Chain-O-Lakes,Barry County,Missouri,105,36.53451,-93.72492,v
Dewey,Champaign County,Illinois,105,40.31889,-88.28194,u
Dutch Neck,Cumberland County,New Jersey,105,39.39930,-75.28164,d
Garfield,Custer County,Nebraska,105,41.50693,-99.52575,s
Goff,Nemaha County,Kansas,105,39.66389,-95.93222,c
Green Sea,Horry County,South Carolina,105,34.12639,-78.97556,u
Hardscrabble,Williams County,North Dakota,105,48.07110,-103.94328,s
Hope,Kenai Peninsula Borough,Alaska,105,60.92028,-149.64028,d
Liberty,Ransom County,North Dakota,105,46.57992,-97.61065,s
Lincoln,Daviess County,Missouri,105,40.08267,-93.83008,s
Mongo,LaGrange County,Indiana,105,41.68472,-85.27972,u
Montrose,Jasper County,Mississippi,105,32.12432,-89.23562,t
New Cambria,Saline County,Kansas,105,38.87917,-97.50586,c
Nogal,Lincoln County,New Mexico,105,33.55806,-105.70778,u
Paden,Tishomingo County,Mississippi,105,34.65982,-88.26588,v
Peck,Sedgwick County / Sumner County,Kansas,105,37.47772,-97.36948,d
Pepperton,Stevens County,Minnesota,105,45.62184,-96.07772,s
Perry,Woodson County,Kansas,105,37.78430,-95.59008,s
Peru,Chautauqua County,Kansas,105,37.08867,-96.09471,c
Peters,Kingman County,Kansas,105,37.50429,-98.29687,s
Radley,Crawford County,Kansas,105,37.48444,-94.76028,u
Scott,Monroe County,Wisconsin,105,44.12146,-90.35896,t
Sloan,Clark County,Nevada,105,35.94361,-115.21722,u
Taft,St. Charles Parish,Louisiana,105,29.99131,-90.44814,d
Annapolis,Crawford County,Illinois,106,39.14444,-87.81667,u
Aurora,Aurora County,South Dakota,106,43.54218,-98.38134,s
Barrett,Beadle County,South Dakota,106,44.57727,-97.92128,s
Bisbee,Towner County,North Dakota,106,48.62584,-99.37792,c
Blaine,Ottawa County,Kansas,106,39.16860,-97.64617,s
Broadview,Cibola County,New Mexico,106,35.22897,-107.87155,d
Bunker Hill,Russell County,Kansas,106,38.87584,-98.70397,c
Cache,Cache County,Utah,106,41.82865,-112.00568,d
Center,Rice County,Kansas,106,38.29695,-98.32160,s
Custer,Mitchell County,Kansas,106,39.27598,-98.45030,s
Dixie,Fayette County / Nicholas County,West Virginia,106,38.25088,-81.19429,d
Dowling,Knox County,Nebraska,106,42.56901,-97.54435,s
Effie,Itasca County,Minnesota,106,47.84022,-93.64297,c
Elmo,Nodaway County,Missouri,106,40.51833,-95.11553,c
Fairfield,Beadle County,South Dakota,106,44.50170,-98.27519,s
Farnsworth,Ochiltree County,Texas,106,36.32111,-100.96639,u
Grant,Franklin County,Nebraska,106,40.17628,-98.78294,s
Hastings,Jefferson County,Oklahoma,106,34.22676,-98.11004,t
Hebron,Adair County,Iowa,106,41.25472,-94.28528,u
Hunter,Woodruff County,Arkansas,106,35.05287,-91.12623,t
Kincaid,Anderson County,Kansas,106,38.08420,-95.15359,c
Lane,Smith County,Kansas,106,39.78548,-98.89891,s
Logan,Washington County,Kansas,106,39.77665,-96.96582,s
Logan,Clay County,Nebraska,106,40.38864,-97.87114,s
Lowe,Deuel County,South Dakota,106,44.93853,-96.56451,s
Mentor,Polk County,Minnesota,106,47.69830,-96.14116,c
Mills,Keya Paha County,Nebraska,106,42.94056,-99.44389,u
Moffat,Saguache County,Colorado,106,37.99889,-105.91002,t
Nelson,Cloud County,Kansas,106,39.52388,-97.53574,s
Otter Creek,Levy County,Florida,106,29.32497,-82.77178,t
Peach Orchard,Clay County,Arkansas,106,36.27868,-90.66289,c
Pleasant Valley Colony,Moody County,South Dakota,106,44.06005,-96.46831,d
Ridgely,Nicollet County,Minnesota,106,44.42863,-94.66970,s
Ruskin,Nuckolls County,Nebraska,106,40.14390,-97.86921,v
Sharon,Taliaferro County,Georgia,106,33.55986,-82.79486,c
Shepardsville,Vigo County,Indiana,106,39.60087,-87.41752,d
St. Paul,Lee County,Iowa,106,40.76948,-91.51710,c
Stavanger,Traill County,North Dakota,106,47.62846,-97.02686,s
Summit,Muskogee County,Oklahoma,106,35.66593,-95.42275,t
Sun Valley,Navajo County,Arizona,106,34.98058,-110.05818,d
Wright,Ford County,Kansas,106,37.78058,-99.89208,d
Alexandria,Clark County,Missouri,107,40.35949,-91.45543,c
Almond,Big Stone County,Minnesota,107,45.43425,-96.40073,s
Andover,Clinton County,Iowa,107,41.97919,-90.25180,c
Ashton,Spink County,South Dakota,107,44.99497,-98.49787,c
Aubrey,Lee County,Arkansas,107,34.71676,-90.90039,t
Bear Creek,Merced County,California,107,37.29716,-120.41741,d
Burt,Ward County,North Dakota,107,48.16048,-101.45816,s
Chestnut,Logan County,Illinois,107,40.05365,-89.18537,d
Church Hill,Jefferson County,Mississippi,107,31.71639,-91.23806,u
Cumminsville,Livingston County,New York,107,42.57146,-77.71972,d
Darlington,Charles Mix County,South Dakota,107,43.38207,-98.76104,s
Deer Creek,Allen County,Kansas,107,37.99568,-95.27809,s
Falls Mills,Tazewell County,Virginia,107,37.46556,-81.52056,u
Frisbee,Dunklin County,Missouri,107,36.35,-90.02861,u
Grove,Cameron County,Pennsylvania,107,41.40038,-78.05916,s
Hitchcock,Beadle County,South Dakota,107,44.62970,-98.40954,t
Jackson,Jewell County,Kansas,107,39.96166,-97.98466,s
Lake George,Clare County,Michigan,107,43.96333,-84.94694,u
Marietta,Robeson County,North Carolina,107,34.36878,-79.12226,t
Marne,Cass County,Iowa,107,41.45138,-95.11138,c
Monson,Traverse County,Minnesota,107,45.88319,-96.48007,s
Monticello,Lewis County,Missouri,107,40.11838,-91.71211,v
Pleasant View,Norman County,Minnesota,107,47.36584,-96.52438,s
Pringle,Custer County,South Dakota,107,43.60859,-103.59381,t
Ranger,Gordon County,Georgia,107,34.50120,-84.70966,t
Rose Creek,Republic County,Kansas,107,39.96253,-97.54135,s
St. Marys,Warren County,Iowa,107,41.30805,-93.72966,c
Sweetwater,Beckham County / Roger Mills County,Oklahoma,107,35.41503,-99.92030,t
Triumph,Custer County,Nebraska,107,41.37094,-99.99728,s
Tryon,McPherson County,Nebraska,107,41.55556,-100.96667,u
Yale,Beadle County,South Dakota,107,44.43387,-97.99009,t
Acme,Whatcom County,Washington,108,48.71706,-122.20516,d
Copper Hill,Gila County,Arizona,108,33.43033,-110.76455,d
Douglas,Stafford County,Kansas,108,38.13074,-98.85765,s
Eola,DuPage County,Illinois,108,41.7775,-88.24278,u
Erie,Sedgwick County,Kansas,108,37.51937,-97.75890,s
Florida,Yellow Medicine County,Minnesota,108,44.76168,-96.39514,s
Folsom,Traverse County,Minnesota,108,45.62232,-96.79220,s
Godfrey,Morgan County,Georgia,108,33.45333,-83.505,u
Hallett,Pawnee County,Oklahoma,108,36.23396,-96.56753,t
Jennings,Garrett County,Maryland,108,39.64647,-79.18253,d
Liberty,Elk County,Kansas,108,37.56193,-96.06504,s
Nesbit,Polk County,Minnesota,108,47.89102,-96.80455,s
Normandy,Bedford County,Tennessee,108,35.45202,-86.25999,t
Novelty,Knox County,Missouri,108,40.01254,-92.20824,v
Oilton,Webb County,Texas,108,27.46586,-98.97419,d
Osco,Henry County,Illinois,108,41.34778,-90.28028,u
Quincy,Adams County,Iowa,108,41.04028,-94.79028,u
Reightown,Blair County,Pennsylvania,108,40.60229,-78.33335,d
Rodeo,Hidalgo County,New Mexico,108,31.83694,-109.03167,u
Stanley,Santa Fe County,New Mexico,108,35.1475,-105.97694,u
Summitville,Columbiana County,Ohio,108,40.67812,-80.88620,v
Tampa,Marion County,Kansas,108,38.54723,-97.15308,c
Tamworth,Faulk County,South Dakota,108,45.02049,-99.16500,s
Thayer,Thurston County,Nebraska,108,42.13286,-96.78693,s
Valentine,Jeff Davis County,Texas,108,30.58737,-104.49659,t
Waterville,Allamakee County,Iowa,108,43.20776,-91.29763,c
West Middletown,Washington County,Pennsylvania,108,40.24285,-80.42729,b
Andover,Polk County,Minnesota,109,47.71614,-96.67549,s
Ash Grove,Franklin County,Nebraska,109,40.17728,-99.11863,s
Atwood,Armstrong County,Pennsylvania,109,40.75479,-79.26643,b
Bartlett,Wheeler County,Nebraska,109,41.88529,-98.55230,v
Bennett Springs,Dallas County / Laclede County,Missouri,109,37.73371,-92.85627,d
Carson,Fayette County,Illinois,109,39.15019,-89.00146,s
Clayville,Providence County,Rhode Island,109,41.77788,-71.67562,d
Dougherty,Floyd County,Texas,109,33.94167,-101.08667,u
Elim,Custer County,Nebraska,109,41.25174,-100.13891,s
Elk Creek,Republic County,Kansas,109,39.70462,-97.41886,s
Floral,Independence County,Arkansas,109,35.58722,-91.75722,u
Fountain Hill,Ashley County,Arkansas,109,33.35789,-91.85041,t
Gapland,Washington County,Maryland,109,39.40278,-77.66028,u
Greenview,Siskiyou County,California,109,41.55069,-122.90559,d
Iowa,Beadle County,South Dakota,109,44.51305,-98.16205,s
Jeddo,Luzerne County,Pennsylvania,109,40.99564,-75.89631,b
Jefferson,Knox County,Nebraska,109,42.58277,-98.11785,s
Kassel,Hutchinson County,South Dakota,109,43.30621,-97.58917,s
Liberty,Polk County,Minnesota,109,47.53573,-96.38470,s
Libertyville,Covington County,Alabama,109,31.24156,-86.46134,t
Loup,Custer County,Nebraska,109,41.14036,-99.54946,s
McDermitt,Humboldt County,Nevada,109,41.99739,-117.71820,d
Midland,Haakon County,South Dakota,109,44.07165,-101.15542,t
Needmore,Fulton County,Pennsylvania,109,39.84592,-78.14473,d
Panola,Sumter County,Alabama,109,32.95068,-88.26892,d
Ramah,El Paso County,Colorado,109,39.12166,-104.16579,t
Raymer,Weld County,Colorado,109,40.60796,-103.84358,t
Troy Mills,Linn County,Iowa,109,42.29,-91.6825,u
West Point,Brule County,South Dakota,109,43.87754,-99.26880,s
Ypsilanti,Stutsman County,North Dakota,109,46.78194,-98.56306,u
Atlanta,Elmore County,Idaho,110,43.80167,-115.12667,u
Bell Center,Crawford County,Wisconsin,110,43.29165,-90.82679,v
Butterfield,El Paso County,Texas,110,31.83483,-106.09581,d
Cannon City,Rice County,Minnesota,110,44.32917,-93.21139,u
Catharine,Ellis County,Kansas,110,38.92723,-99.21677,d
Centerville,New Castle County,Delaware,110,39.82139,-75.61667,u
Chautauqua,Chautauqua County,Kansas,110,37.02034,-96.17666,c
Clintondale,Clinton County,Pennsylvania,110,41.01729,-77.52083,d
Council Hill,Muskogee County,Oklahoma,110,35.55556,-95.65139,t
Deer,Roseau County,Minnesota,110,48.58911,-96.19315,s
Edgar,Carbon County,Montana,110,45.46528,-108.85361,u
Garfield,Rush County,Kansas,110,38.41980,-99.07883,s
Glasgow,Scott County,Illinois,110,39.55060,-90.48012,v
Hidalgo,Jasper County,Illinois,110,39.15587,-88.14698,v
Hope,Eddy County,New Mexico,110,32.81039,-104.73275,v
Ironton,Cherokee County,Texas,110,31.91917,-95.37361,u
Jupiter,Kittson County,Minnesota,110,48.66762,-96.70528,s
Kickapoo Site 5,Brown County,Kansas,110,39.67348,-95.68420,d
Loretto,Boone County,Nebraska,110,41.76473,-98.08062,d
Macsville,Grant County,Minnesota,110,45.80421,-96.06373,s
Martinsburg,Keokuk County,Iowa,110,41.17890,-92.25185,c
McBride,Marshall County,Oklahoma,110,33.93538,-96.63333,d
Memphis,Saunders County,Nebraska,110,41.09500,-96.43140,v
Mount Judea,Newton County,Arkansas,110,35.92139,-93.06028,u
Nelsonville,Austin County,Texas,110,29.97667,-96.40333,u
Oak Park,Marshall County,Minnesota,110,48.23139,-97.07523,s
Ohlman,Montgomery County,Illinois,110,39.34504,-89.21870,v
Olive,Creek County,Oklahoma,110,36.02833,-96.48,u
Paulina,Warren County,New Jersey,110,40.97639,-74.94389,u
Perley,Norman County,Minnesota,110,47.17775,-96.80536,c
Rosine,Ohio County,Kentucky,110,37.45028,-86.74139,u
Rosston,Cooke County,Texas,110,33.48333,-97.44222,u
Saint Joseph,Daviess County,Kentucky,110,37.69444,-87.32528,u
Saltaire,Suffolk County,New York,110,40.63621,-73.19678,v
San Cristobal,Taos County,New Mexico,110,36.59641,-105.63945,d
Saulsbury,Hardeman County,Tennessee,110,35.04703,-89.08784,t
Scott,Adams County,North Dakota,110,45.98430,-102.56038,s
Spring Creek,Coffey County,Kansas,110,38.08870,-95.56390,s
Strasburg,Cass County,Missouri,110,38.76001,-94.16633,c
Strawberry,Washington County,Kansas,110,39.70427,-97.19045,s
Verdi,Atascosa County,Texas,110,29.04997,-98.39946,u
Antelope,Richland County,North Dakota,111,46.32578,-96.96688,s
Arvonia,Osage County,Kansas,111,38.47029,-95.87035,s
Atlanta,Becker County,Minnesota,111,47.02172,-96.12776,s
Avoca,Murray County,Minnesota,111,43.94857,-95.64556,c
Belden,Cedar County,Nebraska,111,42.41306,-97.20672,v
Broughton,Paulding County,Ohio,111,41.08977,-84.53523,v
Colony,Washita County,Oklahoma,111,35.34867,-98.67674,t
Cornish,Jefferson County,Oklahoma,111,34.15898,-97.59697,t
Curryville,Blair County,Pennsylvania,111,40.27583,-78.33833,u
Des Moines,Union County,New Mexico,111,36.76114,-103.83413,v
Egypt,Craighead County,Arkansas,111,35.86813,-90.94568,t
Empire,Cass County,North Dakota,111,47.01402,-97.37777,s
Harriston,Walsh County,North Dakota,111,48.32632,-97.31711,s
Hendersonville,Washington County,Pennsylvania,111,40.29924,-80.15228,d
Kennison,LaMoure County,North Dakota,111,46.57333,-98.72485,s
Lake Valley,San Juan County,New Mexico,111,36.09168,-108.15729,d
Lillie,Union Parish,Louisiana,111,32.93208,-92.65682,v
Lindley,Mercer County,Missouri,111,40.52527,-93.69859,s
Mathews,Kingsbury County,South Dakota,111,44.26039,-97.56207,s
Mazie,Mayes County,Oklahoma,111,36.10760,-95.36330,d
Monmouth,Fresno County,California,111,36.56606,-119.74014,d
Monterey,Owen County,Kentucky,111,38.42201,-84.87245,c
New Pine Creek,Lake County,Oregon,111,41.99417,-120.29722,u
North Washington,Chickasaw County,Iowa,111,43.11803,-92.41685,c
Porter,Grays Harbor County,Washington,111,46.93899,-123.31071,d
Portland,Ouray County,Colorado,111,38.08138,-107.70145,d
Ringo,Crawford County,Kansas,111,37.50944,-94.76139,u
Sikes,Winn Parish,Louisiana,111,32.08099,-92.48681,v
Springdale,Roberts County,South Dakota,111,45.36553,-96.91421,s
St. Paul,Madison County,Arkansas,111,35.82425,-93.76408,t
Tustin,Waushara County,Wisconsin,111,44.16276,-88.89234,d
Vaucluse,Aiken County,South Carolina,111,33.6125,-81.80972,u
Visalia,Kenton County,Kentucky,111,38.915,-84.44972,u
Walnut Grove,Douglas County,South Dakota,111,43.46339,-98.42044,s
White Oak Springs,Lafayette County,Wisconsin,111,42.53146,-90.25332,t
Willow Valley,St. Louis County,Minnesota,111,47.92836,-92.92738,s
Woodstock,Pipestone County,Minnesota,111,44.00913,-96.10058,c
Allen,Kingman County,Kansas,112,37.51902,-97.87122,s
Becker,Roberts County,South Dakota,112,45.53619,-96.83051,s
Butler,Clark County,Wisconsin,112,44.80409,-90.87285,t
Custer Park,Will County,Illinois,112,41.24528,-88.13,u
Downey,Cedar County,Iowa,112,41.61611,-91.34861,u
Edison,Furnas County,Nebraska,112,40.27723,-99.77706,v
Endicott,Jefferson County,Nebraska,112,40.08334,-97.09837,v
Gill,Cass County,North Dakota,112,46.84356,-97.36402,s
Grant,Cuming County,Nebraska,112,42.05406,-96.85393,s
